map,mode,matchID,duration,result,isPresentAtEnd,kills,ekiadRatio,rankAtEnd,shotsLanded,highestMultikill,ekia,score,headshots,assists,scorePerMinute,deaths,damageDealt,shotsMissed,multikills,highestStreak,hits,timePlayed,suicides,timePlayedAlive,objectives,shotsFired
mp_satellite,tdm,3.80E+18,511000,win,1,14,1.454545455,44,40,2,16,2550,4,2,270.3180212,11,2467,99,1,4,40,566,0,484,0,139
mp_miami,dm,1.82E+19,600000,loss,1,7,0.642857143,43,28,2,9,950,0,0,87.28943338,14,1415,198,1,2,29,653,0,561,0,226
mp_tundra,tdm,1.05E+19,454000,win,1,22,3.2,43,118,3,32,4850,3,10,550.094518,10,4078,441,4,7,118,529,0,430,0,559
mp_tank,dom,1.20E+19,609000,win,1,8,0.666666667,43,68,0,10,1175,1,2,104.1358936,15,2194,298,0,2,68,677,0,529,4,366
mp_moscow,tdm,5.16E+18,600000,win,1,18,1.727272727,43,67,2,19,3600,5,1,323.838081,11,3026,258,1,4,67,667,0,568,0,325
mp_raid_rm,conf,4.18E+18,583000,win,1,9,1,42,42,0,12,1200,2,3,114.4674086,12,2024,155,0,2,42,629,1,552,9,197
mp_kgb,dm,1.44E+19,600000,loss,1,21,1.181818182,42,97,2,26,2850,4,0,254.4642857,22,3755,324,1,3,97,672,0,537,0,421
mp_nuketown6,dom,3.01E+17,586000,win,1,21,1.6875,42,117,2,27,3500,3,6,332.8050713,16,4215,397,2,7,117,631,0,504,4,514
mp_satellite,tdm,1.02E+19,526000,loss,1,6,0.714285714,42,29,0,10,915,0,4,93.20882852,14,1340,105,0,2,29,589,0,492,0,134
mp_mall,dom,4.64E+18,554000,loss,1,4,0.294117647,41,30,0,5,1025,0,1,99.03381643,17,844,154,0,1,30,621,0,464,6,184
mp_nuketown6,tdm,1.76E+19,387000,win,1,11,1,41,70,2,14,1850,2,3,254.587156,14,2567,251,1,3,71,436,0,345,0,321
mp_tundra,sd,1.51E+19,808000,loss,1,3,0.625,41,19,0,5,425,1,2,29.14285714,8,735,48,0,2,19,875,0,246,2,67
mp_nuketown6,koth,8.91E+18,723000,loss,1,24,0.653061224,41,151,2,32,3090,0,8,240.1554404,49,4323,683,6,4,151,772,0,610,16,834
mp_tundra,dm,9.13E+18,537000,,1,24,1.611111111,47,64,2,29,3250,0,0,343.9153439,18,4095,139,4,4,64,567,0,487,0,203
mp_raid_rm,tdm,1.84E+19,596000,win,1,8,0.666666667,47,33,0,10,750,2,2,74.01315789,15,1472,161,0,2,33,608,0,527,0,194
mp_satellite,tdm,6.65E+18,600000,loss,,8,0.857142857,47,41,2,12,1750,2,4,243.6194896,14,1882,184,1,3,41,431,0,350,0,225
mp_nuketown6,koth,1.61E+19,684000,loss,,2,1,47,35,0,5,250,0,3,94.33962264,5,413,105,0,1,35,159,0,114,2,140
mp_tank,sd,3.26E+18,903000,loss,1,0,0,71,0,0,0,0,0,0,0,2,0,0,0,0,0,204,0,38,0,0
mp_tank,dm,8.07E+18,488000,win,1,12,0.7,47,63,0,14,1450,4,0,157.0397112,20,2445,296,0,2,64,554,0,439,0,359
mp_nuketown6,tdm,1.06E+18,375000,win,1,8,1.777777778,47,52,0,16,1650,0,8,232.9411765,9,1167,206,0,2,52,425,0,349,0,258
mp_nuketown6,tdm,1.83E+19,315000,win,1,11,1.071428571,46,55,2,15,1850,2,4,305.785124,14,1797,207,2,3,55,363,1,277,0,262
mp_kgb,tdm,8.70E+18,529000,win,1,11,0.705882353,46,50,2,12,1400,2,2,137.0309951,17,2339,216,2,3,50,613,0,484,0,266
mp_satellite,tdm,8.87E+18,469000,loss,1,6,0.5,46,25,0,8,800,1,2,85.86762075,16,1472,71,0,3,25,559,0,428,0,96
mp_nuketown6,conf,4.47E+18,320000,loss,1,16,1.8,46,45,2,18,3200,2,2,513.368984,10,2552,88,2,4,45,374,0,291,18,133
mp_miami,sd,1.21E+19,1124000,win,1,9,5,46,35,2,10,2600,1,1,362.7906977,2,1442,157,1,6,36,430,0,317,9,192
mp_satellite,dm,5.12E+17,484000,,1,14,1.636363636,45,46,0,18,2975,2,0,334.2696629,11,2956,94,0,5,46,534,0,452,0,140
mp_tank,dom,1.79E+19,709000,win,,0,0,45,,0,0,0,0,0,0,0,0,,0,0,0,21,0,0,0,
mp_black_sea,dom10v10,2.95E+18,756000,win,1,8,0.615384615,45,40,0,8,1700,1,0,123.1884058,13,1289,197,0,4,41,828,0,713,7,237
mp_raid_rm,koth,2.81E+18,664000,win,1,11,0.653846154,45,63,0,17,2005,2,7,169.4366197,26,2622,318,0,3,63,710,0,603,15,381
mp_moscow,koth,9.26E+18,565000,win,1,12,0.695652174,50,80,2,16,1535,1,4,145.2681388,23,2918,276,1,2,80,634,0,502,13,356
mp_kgb,tdm,1.35E+19,600000,loss,1,13,1.076923077,50,48,0,14,2150,0,1,193.9849624,13,1837,188,0,5,48,665,0,557,0,236
mp_sm_central,conf,3.66E+17,360000,loss,1,17,0.962962963,50,129,2,26,3825,1,9,563.8820639,27,4235,459,1,3,129,407,0,296,26,588
mp_black_sea,koth,8.70E+17,619000,win,1,11,0.590909091,50,40,0,13,1680,2,2,156.5217391,22,1941,142,0,1,40,644,0,535,7,182
mp_tundra,koth10v10,6.84E+17,765000,win,1,13,1.384615385,49,72,0,18,3165,3,6,234.7342398,13,3296,165,0,7,72,809,0,725,7,237
mp_satellite,control,1.23E+19,1040000,win,1,16,0.80952381,75,50,0,17,2425,3,1,169.5804196,21,3093,75,0,3,51,858,0,609,8,125
mp_kgb,dm,1.31E+19,600000,loss,1,10,0.777777778,49,51,0,14,2300,2,0,212.962963,18,2071,262,0,5,51,648,0,553,0,313
mp_raid_rm,koth,3.42E+18,552000,win,1,25,1.866666667,49,68,2,28,4760,4,3,475.2079867,15,4275,108,2,6,68,601,0,513,22,176
mp_nuketown6,dm,1.76E+19,401000,loss,1,13,1.133333333,49,63,0,17,2400,1,0,320,15,2336,267,0,4,63,450,1,362,0,330
mp_sm_finance,tdm,1.24E+19,315000,loss,1,18,1.176470588,48,96,2,20,2900,1,2,476.7123288,17,3137,223,1,3,96,365,0,271,0,319
mp_tundra,war12v12,4.44E+18,1677000,loss,1,30,0.722222222,48,114,0,39,4690,4,9,158.8932806,54,5366,609,0,3,114,1771,1,1533,13,723
mp_satellite,koth,1.18E+19,584000,loss,1,28,1.454545455,48,105,2,32,2625,2,4,244.9455677,22,5116,487,1,3,105,643,0,528,13,592
mp_sm_berlin_tunnel,gunfight_3v3,6.74E+18,443000,win,1,3,0.5,47,3,0,3,200,1,0,24.64065708,6,450,9,0,3,5,487,0,194,0,12
mp_tank,tdm,1.23E+19,600000,loss,,1,0.2,47,8,0,1,200,0,0,27.33485194,5,337,88,0,1,8,439,0,370,0,96
mp_raid_rm,dom,1.49E+19,713000,loss,1,8,0.619047619,47,47,0,13,1325,2,5,101.7925736,21,2685,240,0,2,47,781,0,625,4,287
mp_mall,dm,1.28E+18,600000,loss,1,14,1.636363636,51,50,0,18,3700,1,0,346.875,11,2597,126,0,7,50,640,0,569,0,176
mp_tundra,dom10v10,1.82E+19,675000,loss,,1,0.166666667,51,4,0,1,825,0,0,99,6,421,11,0,1,4,500,0,453,3,15
mp_sm_berlin_tunnel,tdm,1.33E+19,360000,loss,1,16,1.285714286,51,60,2,18,2850,4,2,428.5714286,14,2944,73,4,4,60,399,0,323,0,133
mp_mall,tdm,3.15E+17,600000,win,,5,2.666666667,51,32,0,8,1100,2,3,186.9688385,3,1000,106,0,4,32,353,0,298,0,138
mp_tundra,conf,8.80E+18,403000,win,1,18,1.909090909,51,60,2,21,2040,1,3,269.010989,11,2995,118,2,4,60,455,0,369,12,178
mp_sm_game_show,conf,2.07E+18,359000,loss,1,8,0.565217391,51,57,0,13,1575,3,5,233.9108911,23,2117,246,0,2,57,404,0,307,16,303
mp_raid_rm,tdm,4.31E+18,549000,loss,1,19,1.176470588,51,53,3,20,3350,2,1,339.527027,17,3510,117,2,4,53,592,1,500,0,170
mp_sm_game_show,conf,3.65E+18,360000,loss,1,15,0.95,51,65,2,19,1975,2,4,288.3211679,20,2501,228,1,3,65,411,0,315,8,293
mp_black_sea,war12v12,3.70E+18,274000,win,1,4,1.5,50,21,0,6,675,0,2,118.4210526,4,968,117,0,3,22,342,0,263,2,138
mp_tank,tdm,1.36E+19,518000,loss,1,9,0.5,50,38,0,9,1400,4,0,144.3298969,18,1570,160,0,3,38,582,0,473,0,198
mp_tank,dm,1.06E+18,600000,,,13,0.866666667,57,78,0,13,1750,1,0,175,15,2563,343,0,3,78,600,0,533,0,421
mp_nuketown6,tdm,6.40E+18,462000,loss,1,17,1.05,56,84,2,21,2615,4,4,310.6930693,20,2629,426,1,3,84,505,0,412,0,510
mp_sm_finance,conf,4.43E+18,331000,loss,1,13,0.823529412,56,28,0,14,2165,1,1,348.2573727,17,1778,91,0,3,28,373,1,277,14,119
mp_sm_finance,conf,1.66E+19,360000,loss,1,14,0.789473684,56,65,2,15,2610,1,1,384.7665848,19,2602,210,2,3,65,407,1,310,15,275
mp_kgb,control,1.66E+19,428000,loss,1,6,0.8,55,27,0,8,1175,1,2,144.1717791,10,1303,187,0,3,27,489,0,333,7,214
mp_cartel,war12v12,1.36E+19,297000,loss,1,9,1.333333333,55,36,0,12,1755,1,3,285.3658537,9,1243,182,0,3,36,369,0,274,10,218
mp_sm_berlin_tunnel,tdm,6.38E+18,360000,win,1,10,1,55,61,2,13,1900,1,3,280.0982801,13,2285,228,2,3,61,407,0,321,0,289
mp_tank,tdm,1.91E+18,600000,win,1,13,0.941176471,54,43,0,16,2085,0,3,187.2754491,17,2351,147,0,3,43,668,0,556,0,190
mp_cartel,koth10v10,1.74E+19,971000,loss,1,23,1.178571429,54,83,3,33,2905,6,10,211.0169492,28,3641,515,4,3,83,826,0,715,11,598
mp_satellite,sd,5.76E+18,1000000,loss,,3,0.571428571,54,13,0,4,325,0,1,23.18668252,7,633,51,0,2,15,841,0,279,0,64
mp_tundra,control,1.25E+19,902000,loss,1,26,1.260869565,54,117,0,29,3395,7,3,213.9705882,23,5157,511,0,5,119,952,0,689,7,628
mp_black_sea,dom10v10,1.83E+19,846000,none,1,13,1.25,53,74,0,15,1805,2,2,115.212766,12,2363,437,0,4,74,940,0,796,7,511
mp_tundra,dm,5.63E+18,463000,loss,1,9,0.882352941,53,46,0,15,1875,2,0,218.8715953,17,2305,284,0,3,46,514,0,417,0,330
mp_mall,tdm,1.55E+19,600000,loss,,6,0.714285714,52,37,0,10,1270,0,4,183.6144578,14,1512,262,0,2,37,415,0,332,0,299
mp_sm_berlin_tunnel,tdm,1.82E+19,360000,loss,1,7,0.5,52,18,2,7,800,0,0,118.5185185,14,1082,22,1,2,19,405,0,305,0,40
mp_moscow,control,1.01E+19,505000,loss,1,9,0.647058824,52,39,2,11,2225,1,2,237.1225577,17,1908,150,2,5,41,563,0,368,10,189
mp_sm_central,dom,7.22E+18,331000,loss,1,15,1.5,52,53,2,18,3325,0,3,525,12,2341,168,2,4,53,380,1,301,18,221
mp_mall,koth,4.96E+18,735000,win,1,19,1.4375,52,80,2,23,3890,3,4,389.6494157,16,3824,269,3,4,80,599,0,512,21,349
mp_satellite,control,1.63E+19,682000,loss,1,6,0.347826087,52,33,0,8,525,2,2,42.45283019,23,1716,118,0,1,34,742,0,521,4,151
mp_tundra,war12v12,1.55E+19,1852000,win,1,39,1.394736842,63,130,2,53,8765,6,14,273.0529595,38,7808,717,4,9,130,1926,0,1724,23,847
mp_kgb,sd,1.42E+19,1068000,win,1,5,0.6,61,27,0,6,325,2,1,17.22614841,10,1129,89,0,2,30,1132,0,363,2,116
mp_sm_central,conf,1.44E+19,360000,win,1,16,1.15,60,82,2,23,2855,4,8,426.119403,20,3313,315,3,4,82,402,0,317,24,397
mp_mall,tdm,1.24E+19,546000,win,1,13,1.75,60,55,2,14,2805,1,1,265.8767773,8,2085,260,1,4,55,633,0,515,0,315
mp_sm_game_show,conf,7.08E+17,360000,loss,1,9,0.590909091,59,55,2,13,1345,3,4,199.7524752,22,1915,198,1,2,56,404,0,302,9,253
mp_sm_berlin_tunnel,tdm,1.28E+19,360000,loss,1,10,1.142857143,59,61,0,16,1450,1,6,213.7592138,14,2298,305,0,1,61,407,0,320,0,366
mp_kgb,control,1.34E+19,1104000,win,1,14,0.75,58,87,0,21,2165,1,7,112.1761658,28,3447,287,0,2,87,1158,0,806,18,374
mp_nuketown6,koth,7.19E+18,587000,win,1,16,0.696969697,57,78,2,23,2475,2,7,233.8582677,33,3290,505,1,3,78,635,0,508,15,583
mp_sm_finance,dom,8.05E+18,290000,loss,1,2,0.25,56,18,0,2,850,0,0,277.173913,8,416,82,0,1,18,184,0,118,4,100
mp_sm_berlin_tunnel,conf,1.74E+19,360000,loss,,7,1.166666667,65,17,0,7,885,2,0,210.7142857,6,1498,39,0,3,18,252,0,204,3,56
mp_kgb,koth,5.21E+16,621000,loss,,1,1,65,7,0,1,320,0,0,106.6666667,1,180,9,0,1,7,180,0,128,2,16
mp_tundra,koth10v10,1.36E+19,903000,loss,1,16,1,65,45,2,21,2250,2,5,149.0066225,21,2904,245,1,2,61,906,0,792,3,290
mp_cartel,war12v12,1.77E+19,331000,win,1,7,1.666666667,65,23,2,10,1700,1,3,258.8832487,6,1551,23,1,3,23,394,0,298,9,46
mp_nuketown6,dm,1.53E+19,397000,loss,1,14,0.894736842,64,66,2,17,2800,2,0,395.2941176,19,2778,168,1,5,66,425,0,344,0,234
mp_kgb,tdm,2.28E+17,551000,loss,1,11,0.866666667,64,35,2,13,2100,0,2,208.6092715,15,1895,50,1,3,36,604,0,509,0,85
mp_sm_game_show,tdm,7.71E+18,360000,loss,1,14,1.153846154,63,29,2,15,2000,0,1,299.2518703,13,2316,95,1,4,29,401,0,328,0,124
mp_tank,dm,5.01E+17,586000,,1,20,1.625,71,93,0,26,3100,2,0,291.0798122,16,3749,406,0,3,93,639,0,549,0,499
mp_cartel,tdm,1.10E+19,600000,loss,1,10,1.25,71,33,0,10,1955,1,0,175.0746269,8,1670,267,0,4,33,670,0,576,0,300
mp_sm_central,tdm,3.41E+18,259000,loss,1,8,0.714285714,70,48,0,10,800,1,2,161.0738255,14,1772,216,0,2,49,298,0,226,0,264
mp_sm_game_show,dom,9.63E+18,290000,win,1,13,1.166666667,70,63,0,14,2050,1,1,369.3693694,12,2088,217,0,5,63,333,0,261,12,280
mp_moscow,tdm,1.12E+19,601000,loss,1,10,1.1,70,35,2,11,1970,2,1,282.7751196,10,2075,75,1,4,36,418,0,353,0,110
mp_sm_finance,conf,1.29E+19,360000,win,1,8,0.733333333,69,48,0,11,1275,1,3,192.6952141,15,1680,211,0,2,48,397,0,327,4,259
mp_sm_finance,tdm,3.20E+18,346000,loss,1,12,1.083333333,69,52,0,13,3100,0,1,470.8860759,12,1813,226,0,5,53,395,0,313,0,278
mp_mall,dm,5.51E+17,440000,loss,1,10,1.181818182,68,66,0,13,2050,0,0,244.5328032,11,2039,229,0,3,66,503,0,412,0,295
mp_sm_finance,dom,8.49E+18,311000,loss,1,8,0.47826087,68,54,0,11,1500,1,3,255.6818182,23,1790,165,0,2,54,352,0,253,12,219
mp_tundra,dom10v10,4.59E+18,635000,,1,0,0,130,,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,
mp_raid_rm,dm,7.82E+18,600000,,1,17,1.266666667,68,77,2,19,1950,3,0,181.9595645,15,2878,385,1,3,77,643,0,560,0,462
mp_miami,koth,1.71E+19,732000,loss,1,15,0.954545455,67,87,2,21,1875,1,6,186.8770764,22,3506,477,1,2,87,602,0,509,12,564
mp_sm_berlin_tunnel,dom,1.28E+18,296000,win,1,7,0.529411765,67,36,0,9,950,3,2,168.1415929,17,1283,163,0,2,36,339,0,259,7,199
mp_satellite,koth,1.16E+19,611000,loss,1,18,0.846153846,66,90,3,22,2045,1,4,182.5892857,26,2851,301,3,3,90,672,0,539,17,391
mp_tundra,war12v12,2.66E+18,204000,win,1,2,1,66,13,0,2,125,1,0,27.37226277,2,300,37,0,2,13,274,0,190,0,50
mp_black_sea,control,1.23E+19,483000,win,1,1,0.333333333,65,10,0,2,825,0,1,148.6486486,6,356,20,0,1,11,333,0,240,4,30
mp_miami,war12v12,1.56E+19,3504000,win,,31,0.972972973,66,76,3,36,6460,5,5,327.0886076,37,4698,190,5,4,76,1185,0,1006,27,266
mp_sm_finance,tdm,5.55E+17,351000,loss,1,1,0.2,75,9,0,1,50,0,0,30.3030303,5,470,30,0,1,9,99,0,69,0,39
mp_sm_central,dom,1.53E+19,346000,win,1,13,1.153846154,75,69,2,15,2550,2,2,390.3061224,13,2275,251,1,3,69,392,0,295,15,320
mp_sm_game_show,conf,1.77E+18,360000,loss,1,9,0.6875,75,51,2,11,1670,2,2,244.9877751,16,1390,312,1,3,51,409,0,318,14,363
mp_miami,koth10v10,5.57E+18,988000,loss,1,30,1.24137931,75,117,2,36,3975,3,6,246.130031,29,5431,445,3,4,117,969,0,828,26,562
mp_mall,tdm,5.87E+18,600000,loss,1,14,0.789473684,74,46,0,15,2875,2,1,260.1809955,19,2572,135,0,6,47,663,0,551,0,181
mp_sm_berlin_tunnel,tdm,1.70E+19,360000,loss,1,11,0.777777778,73,81,0,14,1300,2,3,189.3203883,18,2524,287,0,2,81,412,0,308,0,368
mp_kgb,tdm,7.37E+18,600000,win,1,14,1.416666667,73,62,2,17,3280,5,3,294.6107784,12,2470,278,1,6,62,668,0,570,0,340
mp_tundra,dm,2.95E+18,377000,loss,1,13,1.125,72,66,2,18,2125,4,0,298.5948478,16,2873,177,2,3,66,427,0,338,0,243
mp_black_sea,tdm,4.58E+18,600000,loss,1,12,1,72,37,2,15,2535,1,3,226.0029718,15,2085,111,1,4,37,673,0,560,0,148
mp_cartel,war12v12,1.33E+19,756000,win,1,23,1.333333333,78,95,2,32,4820,4,9,351.3973269,24,4550,584,2,4,95,823,0,683,24,679
mp_nuketown6,tdm,1.39E+19,439000,win,1,12,1.235294118,78,74,3,21,2670,4,9,326.2729124,17,3047,291,2,4,74,491,0,391,0,365
mp_sm_finance,dom,8.79E+18,230000,win,1,8,2.25,78,37,0,9,2225,0,1,483.6956522,4,1174,107,0,6,37,276,0,219,11,144
mp_moscow,tdm,1.12E+19,511000,loss,1,1,0.153846154,78,4,0,2,100,1,1,16.21621622,13,283,9,0,1,5,370,0,293,0,13
mp_sm_berlin_tunnel,conf,2.61E+18,360000,loss,1,10,0.875,77,69,2,14,1760,1,4,258.190709,16,2268,250,1,2,69,409,0,322,12,319
mp_kgb,sd,1.15E+19,943000,win,1,1,0.166666667,77,4,0,1,100,0,0,8.021390374,6,138,11,0,1,5,748,1,221,0,15
mp_tundra,dm,1.67E+19,327000,loss,1,19,2.222222222,76,73,0,20,4725,5,0,780.9917355,9,3149,288,0,7,73,363,0,305,0,361
mp_kgb,tdm,3.84E+18,600000,loss,1,20,1.5625,82,76,2,25,2645,1,5,231.3411079,16,3309,358,1,3,76,686,0,562,0,434
mp_sm_game_show,conf,1.75E+19,360000,none,1,19,1.4375,82,93,2,23,3600,2,4,540,16,3224,241,1,3,93,400,0,321,25,334
mp_satellite,koth,6.31E+18,685000,win,1,24,0.896551724,82,81,0,26,3990,5,2,321.3422819,29,3806,403,0,5,81,745,0,610,13,484
mp_sm_central,dom,1.31E+19,281000,win,1,22,1.733333333,81,96,2,26,3675,3,4,674.3119266,15,3308,315,4,5,96,327,0,241,14,411
mp_tank,dm,1.32E+19,575000,loss,1,13,1.071428571,81,81,0,15,1675,6,0,163.9477977,14,2760,301,0,4,81,613,0,530,0,382
mp_cartel,dom10v10,7.27E+18,625000,,1,0,0,80,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,
mp_miami,tdm,1.60E+19,600000,win,1,14,2,80,46,2,14,5755,2,0,523.1818182,7,2496,68,1,10,47,660,0,579,0,114
mp_sm_game_show,conf,1.31E+19,361000,win,1,13,0.739130435,80,71,2,17,1950,4,4,287.4692875,23,2746,161,1,2,71,407,0,308,15,232
mp_moscow,control,1.52E+19,546000,win,1,11,2.2,80,29,2,11,2295,2,0,310.1351351,5,1556,73,1,6,29,444,0,316,4,102
mp_sm_berlin_tunnel,tdm,1.80E+18,360000,loss,1,8,0.619047619,84,53,0,13,1450,2,5,213.7592138,21,2057,211,0,2,53,407,0,314,0,264
mp_tundra,control,1.40E+19,985000,win,1,7,0.75,84,46,0,9,525,0,2,72.7482679,12,1558,210,0,3,47,433,0,297,2,256
mp_miami,war12v12,3.84E+18,659000,win,1,12,0.619047619,84,33,0,13,2515,0,1,200.9320905,21,1949,96,0,3,38,751,1,608,7,129
mp_sm_finance,dom,4.10E+18,281000,win,1,6,0.727272727,83,42,0,8,1250,2,2,231.4814815,11,1344,181,0,2,42,324,0,254,10,223
mp_miami,dm,1.71E+18,600000,loss,1,4,0.4,83,8,0,4,425,0,0,52.57731959,10,718,27,0,2,8,485,0,409,0,35
mp_raid_rm,dm,4.23E+18,478000,,1,16,0.95,83,90,2,19,2650,3,0,304.5977011,20,3005,333,1,2,90,522,0,430,0,423
mp_satellite,tdm,1.38E+19,600000,loss,1,7,0.470588235,84,28,0,8,900,2,1,81.3253012,17,1426,61,0,2,29,664,1,545,0,89
mp_cartel,war12v12,1.01E+18,472000,win,1,6,0.578947368,88,35,0,11,2495,3,5,272.6775956,19,1413,178,0,1,35,549,0,424,10,213
